symbol,name,window_id,signal_date,market_env,label_desc,lppl_m,lppl_w,lppl_rmse,lppl_r2,lppl_dtc,lppl_valid,lppl_bottom,lppl_top,wy_phase,wy_direction,wy_confidence,wy_signal,wy_bc,wy_spring,wy_rr,combined_score,signal_label,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
600351.SH,亚宝药业,1,2012-12-04,bear_bottom,2012熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.5,15.0,neutral,19.17,32.46,1.74,14.92,4.25
600351.SH,亚宝药业,2,2013-06-25,bear_bottom,2013钱荒底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,-0.83,20.93,1.66,8.09,-8.92
600351.SH,亚宝药业,3,2014-07-22,bull_start,2014牛市启动,0.0,0.0,1.0,0.0,0.0,False,False,False,markup,持有观察,C,markup,True,False,0.3,5.0,neutral,3.02,15.42,5.94,35.34,-32.32
600351.SH,亚宝药业,4,2015-08-26,crash_bottom,2015股灾底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,1.27,15.0,neutral,14.27,57.66,7.95,5.51,8.76
600351.SH,亚宝药业,5,2016-01-27,crash_bottom,2016熔断底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.97,15.0,neutral,-11.78,18.36,12.51,4.97,-16.75
600351.SH,亚宝药业,6,2018-10-19,bear_bottom,2018熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,1.0,15.0,neutral,1.58,10.27,13.27,21.72,-20.14
600351.SH,亚宝药业,7,2019-01-04,rebound_start,2019春季反弹启动,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,B,markdown,True,False,2.82,18.0,neutral,12.77,62.06,2.48,18.05,-5.28
600351.SH,亚宝药业,8,2020-03-23,event_bottom,2020疫情底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,B,markdown,True,False,3.17,18.0,neutral,38.88,38.88,3.81,35.28,3.6
600351.SH,亚宝药业,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,32.01,62.41,1.26,6.19,25.82
600351.SH,亚宝药业,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markup,持有观察,C,markup,True,False,0.25,5.0,neutral,16.39,25.83,3.15,13.57,2.82
600329.SH,达仁堂,1,2012-12-04,bear_bottom,2012熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,B,markdown,True,False,5.18,18.0,neutral,71.52,92.32,0.44,14.92,56.6
600329.SH,达仁堂,2,2013-06-25,bear_bottom,2013钱荒底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.59,15.0,neutral,-8.6,14.64,10.15,8.09,-16.69
600329.SH,达仁堂,3,2014-07-22,bull_start,2014牛市启动,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,7.63,13.25,5.69,35.34,-27.71
600329.SH,达仁堂,4,2015-08-26,crash_bottom,2015股灾底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,-2.31,38.51,11.84,5.51,-7.82
600329.SH,达仁堂,5,2016-01-27,crash_bottom,2016熔断底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.67,15.0,neutral,4.91,20.92,4.35,4.97,-0.06
600329.SH,达仁堂,6,2018-10-19,bear_bottom,2018熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,1.42,15.0,neutral,7.6,9.99,14.62,21.72,-14.12
600329.SH,达仁堂,7,2019-01-04,rebound_start,2019春季反弹启动,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.06,15.0,neutral,18.63,46.45,2.66,18.05,0.58
600329.SH,达仁堂,8,2020-03-23,event_bottom,2020疫情底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,B,markdown,True,False,5.46,18.0,neutral,57.06,67.76,-0.57,35.28,21.78
600329.SH,达仁堂,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,0.54,30.69,12.9,6.19,-5.65
600329.SH,达仁堂,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markup,持有观察,C,markup,True,False,0.07,5.0,neutral,32.37,39.96,3.04,13.57,18.8
601016.SH,节能风电,4,2015-08-26,crash_bottom,2015股灾底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,-52.9,5.1,53.97,5.51,-58.41
601016.SH,节能风电,5,2016-01-27,crash_bottom,2016熔断底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,1.31,15.0,neutral,-4.54,28.01,5.23,4.97,-9.51
601016.SH,节能风电,6,2018-10-19,bear_bottom,2018熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,2.73,15.0,neutral,34.37,35.27,1.34,21.72,12.65
601016.SH,节能风电,7,2019-01-04,rebound_start,2019春季反弹启动,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.62,15.0,neutral,15.45,58.8,0.86,18.05,-2.6
601016.SH,节能风电,8,2020-03-23,event_bottom,2020疫情底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,57.92,66.97,4.98,35.28,22.64
601016.SH,节能风电,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,76.88,119.09,0.0,6.19,70.69
601016.SH,节能风电,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,B,markdown,True,False,2.94,18.0,neutral,-9.11,7.01,15.89,13.57,-22.68
688101.SH,三达膜,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,markup,持有观察,C,markup,True,False,0.16,5.0,neutral,-9.69,21.68,27.88,6.19,-15.88
688101.SH,三达膜,10,2022-10-31,bear_bottom,2022熊底,0.1697,6.0954,0.034274,0.7526,67.18,True,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,9.0,neutral,6.24,20.85,4.26,13.57,-7.33
688230.SH,芯导科技,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,10.76,16.26,12.83,13.57,-2.81
300370.SZ,安控科技,4,2015-08-26,crash_bottom,2015股灾底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,D,markdown,True,False,0.48,14.0,neutral,24.29,89.75,14.12,5.51,18.78
300370.SZ,安控科技,5,2016-01-27,crash_bottom,2016熔断底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.08,15.0,neutral,-42.55,24.66,48.22,4.97,-47.52
300370.SZ,安控科技,6,2018-10-19,bear_bottom,2018熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.26,15.0,neutral,64.17,64.17,5.0,21.72,42.45
300370.SZ,安控科技,7,2019-01-04,rebound_start,2019春季反弹启动,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.04,15.0,neutral,74.54,157.2,15.87,18.05,56.49
300370.SZ,安控科技,8,2020-03-23,event_bottom,2020疫情底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,-21.83,5.31,32.74,35.28,-57.11
300370.SZ,安控科技,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,25.37,39.02,3.41,6.19,19.18
300370.SZ,安控科技,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.62,15.0,neutral,-2.38,11.11,11.9,13.57,-15.95
600292.SH,电投水电,1,2012-12-04,bear_bottom,2012熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,D,markdown,True,False,1.69,14.0,neutral,41.48,72.83,0.58,14.92,26.56
600292.SH,电投水电,2,2013-06-25,bear_bottom,2013钱荒底,0.0,0.0,1.0,0.0,0.0,False,False,False,markup,持有观察,C,markup,True,False,0.06,5.0,neutral,40.32,57.82,14.66,8.09,32.23
600292.SH,电投水电,3,2014-07-22,bull_start,2014牛市启动,0.0,0.0,1.0,0.0,0.0,False,False,False,markup,持有观察,C,markup,True,False,0.32,5.0,neutral,16.6,31.79,3.92,35.34,-18.74
600292.SH,电投水电,4,2015-08-26,crash_bottom,2015股灾底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,B,markdown,True,False,6.73,18.0,neutral,1.34,84.37,10.06,5.51,-4.17
600292.SH,电投水电,5,2016-01-27,crash_bottom,2016熔断底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,D,markdown,True,False,0.44,14.0,neutral,-9.38,14.4,11.23,4.97,-14.35
600292.SH,电投水电,6,2018-10-19,bear_bottom,2018熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,3.91,15.0,neutral,36.29,38.23,-0.65,21.72,14.57
600292.SH,电投水电,7,2019-01-04,rebound_start,2019春季反弹启动,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.56,15.0,neutral,17.3,64.02,3.98,18.05,-0.75
600292.SH,电投水电,8,2020-03-23,event_bottom,2020疫情底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,1.32,15.0,neutral,12.47,15.29,5.23,35.28,-22.81
600292.SH,电投水电,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,1.48,15.0,neutral,11.02,26.12,2.99,6.19,4.83
600292.SH,电投水电,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.56,15.0,neutral,4.11,15.89,1.79,13.57,-9.46
300849.SZ,锦盛新材,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,1.99,15.0,neutral,7.18,23.93,2.48,6.19,0.99
300849.SZ,锦盛新材,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,accumulation,观察等待,C,spring,True,True,3.29,43.0,buy,2.26,12.74,1.42,13.57,-11.31
605128.SH,上海沿浦,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,markup,持有观察,C,markup,True,False,0.08,5.0,neutral,-17.66,26.01,27.3,6.19,-23.85
605128.SH,上海沿浦,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.19,15.0,neutral,-4.66,46.73,7.9,13.57,-18.23
300707.SZ,威唐工业,6,2018-10-19,bear_bottom,2018熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,D,markdown,True,False,0.18,14.0,neutral,-5.15,10.35,25.24,21.72,-26.87
300707.SZ,威唐工业,7,2019-01-04,rebound_start,2019春季反弹启动,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.43,15.0,neutral,-22.88,14.92,24.0,18.05,-40.93
300707.SZ,威唐工业,8,2020-03-23,event_bottom,2020疫情底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,D,markdown,True,False,0.31,14.0,neutral,22.86,37.94,7.44,35.28,-12.42
300707.SZ,威唐工业,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,47.37,53.96,6.2,6.19,41.18
300707.SZ,威唐工业,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.59,15.0,neutral,-8.21,30.67,17.89,13.57,-21.78
002641.SZ,公元股份,1,2012-12-04,bear_bottom,2012熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markup,持有观察,C,markup,True,False,0.25,5.0,neutral,23.32,63.69,0.55,14.92,8.4
002641.SZ,公元股份,2,2013-06-25,bear_bottom,2013钱荒底,0.3394,6.4381,0.173553,0.549,5.74,False,False,False,markdown,空仓观望,D,markdown,True,False,0.77,14.0,neutral,10.22,39.57,9.57,8.09,2.13
002641.SZ,公元股份,3,2014-07-22,bull_start,2014牛市启动,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,25.27,29.72,0.24,35.34,-10.07
002641.SZ,公元股份,4,2015-08-26,crash_bottom,2015股灾底,0.9,7.6483,0.158429,0.7331,89.81,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,12.84,49.59,4.19,5.51,7.33
002641.SZ,公元股份,5,2016-01-27,crash_bottom,2016熔断底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,1.45,15.0,neutral,1.9,34.69,4.22,4.97,-3.07
002641.SZ,公元股份,6,2018-10-19,bear_bottom,2018熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,B,markdown,True,False,2.76,18.0,neutral,25.41,28.38,3.3,21.72,3.69
002641.SZ,公元股份,7,2019-01-04,rebound_start,2019春季反弹启动,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.81,15.0,neutral,15.96,45.48,3.31,18.05,-2.09
002641.SZ,公元股份,8,2020-03-23,event_bottom,2020疫情底,0.5502,6.6055,0.066295,0.7553,43.56,False,False,False,markdown,空仓观望,D,markdown,True,False,0.26,14.0,neutral,61.76,81.84,-1.53,35.28,26.48
002641.SZ,公元股份,9,2021-07-28,structural_low,2021结构底,0.2691,8.0718,0.025869,0.7123,31.46,True,False,False,markdown,空仓观望,C,markdown,True,False,6.36,25.0,watch,-17.66,2.38,28.35,6.19,-23.85
002641.SZ,公元股份,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,7.99,29.0,1.37,13.57,-5.58
688116.SH,天奈科技,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,11.23,36.07,5.65,6.19,5.04
688116.SH,天奈科技,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.36,15.0,neutral,-29.69,18.43,31.01,13.57,-43.26
002911.SZ,佛燃能源,6,2018-10-19,bear_bottom,2018熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,-2.72,8.88,17.06,21.72,-24.44
002911.SZ,佛燃能源,7,2019-01-04,rebound_start,2019春季反弹启动,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,B,markdown,True,False,9.18,18.0,neutral,-11.18,14.62,13.49,18.05,-29.23
002911.SZ,佛燃能源,8,2020-03-23,event_bottom,2020疫情底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,0.87,15.0,neutral,25.45,59.67,1.51,35.28,-9.83
002911.SZ,佛燃能源,9,2021-07-28,structural_low,2021结构底,0.0,0.0,1.0,0.0,0.0,False,False,False,accumulation,观察等待,C,spring,True,True,0.0,43.0,buy,31.26,58.8,-0.36,6.19,25.07
002911.SZ,佛燃能源,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,markdown,空仓观望,C,markdown,True,False,1.3,15.0,neutral,12.96,37.98,0.09,13.57,-0.61
301093.SZ,华兰股份,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,6.74,22.11,15.78,13.57,-6.83
688768.SH,容知日新,10,2022-10-31,bear_bottom,2022熊底,0.0,0.0,1.0,0.0,0.0,False,False,False,unknown,空仓观望,D,no_signal,False,False,0.0,-1.0,avoid,24.88,32.44,11.81,13.57,11.31
