date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2024-07-02,000001.SH,2992.86,3004.99,2989.47,2997.01,281364683.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,981526.8656022556,981526.8656022556,0.9815268656022555,0.9616558265495698,0.0007613374160611031,0.000761337416060881,2.220446049250313e-16,False,1.098712445506913,-0.10665718804212831
2024-07-03,000001.SH,2995.66,2998.54,2978.07,2982.38,246284642.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,976735.5108707862,976735.5108707862,0.9767355108707861,0.9569614729296553,-0.004881531926820504,-0.004881531926820393,-1.1102230246251565e-16,False,1.098712445506913,-0.11101806950029625
2024-07-04,000001.SH,2984.83,2995.57,2955.29,2957.57,274268789.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,968610.185451254,968610.185451254,0.968610185451254,0.9490006449522062,-0.008318859434411463,-0.008318859434411463,0.0,False,1.098712445506913,-0.118413385219855
2024-07-05,000001.SH,2954.37,2957.11,2920.2,2949.93,272324556.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,966108.0699250457,966108.0699250456,0.9661080699250456,0.9465491848253333,-0.0025832017500856397,-0.0025832017500855287,-1.1102230246251565e-16,False,1.098712445506913,-0.12069070130600712
2024-07-08,000001.SH,2939.84,2947.61,2917.23,2922.45,277533424.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,957108.3140794697,957108.3140794695,0.9571083140794695,0.9377316292904562,-0.009315475282464347,-0.009315475282464347,0.0,False,1.098712445506913,-0.1288818853436321
2024-07-09,000001.SH,2919.57,2963.78,2904.04,2959.37,315062031.0,negative_bubble,0.6158518666863376,强抄底信号 (Strong Buy),hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,969199.6891092611,969199.6891092611,0.9691996891092611,0.9495782140920451,0.012633235812417931,0.012633235812417709,2.220446049250313e-16,False,1.098712445506913,-0.11787684478070926
2024-07-10,000001.SH,2949.03,2958.86,2935.33,2939.36,301549456.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,962646.3734444148,962646.3734444147,0.9626463734444147,0.9431575704875004,-0.00676157425397983,-0.0067615742539796075,-2.220446049250313e-16,False,1.098712445506913,-0.12384138599587946
2024-07-11,000001.SH,2957.25,2971.36,2947.4,2970.39,328372424.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,972808.7615043939,972808.7615043938,0.9728087615043938,0.953114220714838,0.010556719830167038,0.010556719830167038,0.0,False,1.098712445506913,-0.11459202498105048
2024-07-12,000001.SH,2965.61,2977.14,2963.3,2971.3,303713014.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,973106.7883537199,973106.7883537197,0.9731067883537198,0.9534062140022012,0.00030635707769022247,0.00030635707769022247,0.0,False,1.098712445506913,-0.11432077398126006
2024-07-15,000001.SH,2963.85,2977.31,2959.13,2974.01,268992597.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,973994.3188610529,973994.3188610529,0.9739943188610528,0.9542757764294034,0.0009120586948474507,0.0009120586948474507,0.0,False,1.098712445506913,-0.11351298254232389
2024-07-16,000001.SH,2963.9,2977.36,2959.67,2976.3,260783630.0,negative_bubble,0.5937574503033047,强抄底信号 (Strong Buy),hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,974744.2985148508,974744.2985148507,0.9747442985148507,0.9550105727239765,0.0007700041358298382,0.0007700041358300602,-2.220446049250313e-16,False,1.098712445506913,-0.11283038387252198
2024-07-17,000001.SH,2970.81,2972.79,2957.95,2962.85,282307991.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,970339.3961814083,970339.3961814083,0.9703393961814083,0.9506948477624008,-0.004519033699559749,-0.004519033699559971,2.220446049250313e-16,False,1.098712445506913,-0.1168395332650276
2024-07-18,000001.SH,2951.14,2978.09,2937.9,2977.13,278022665.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,975016.1252015985,975016.1252015985,0.9750161252015985,0.9552768962717911,0.00481968375044306,0.00481968375044306,0.0,False,1.098712445506913,-0.11258297911447135
