symbol,symbol_name,fast_ma,slow_ma,atr_config,total_return,benchmark_return,annualized_return,annualized_benchmark,annualized_excess_return,max_drawdown,trade_count,holding_ratio,eligible
000852.SH,中证1000,5,250,短周期ATR,-0.010406336601146982,0.18924441633249622,-0.0020916434554991703,0.035299922477924905,-0.037391565933424076,-0.24585019320592705,2,0.4185861795075457,False
932000.SH,中证2000,5,250,短周期ATR,0.37862818322719627,0.6812540622425114,0.06637899641657485,0.10958994513949638,-0.04321094872292153,-0.3612237463366881,6,0.8276409849086577,False
000001.SH,上证综指,5,250,长周期ATR,0.20369806190654738,0.08755227654815001,0.03780630052341771,0.016941144159684285,0.020865156363733428,-0.1728035555638575,6,0.6028594122319301,True
399001.SZ,深证成指,5,250,长周期ATR,0.0,-0.1044591658027142,0.0,-0.02184097316835798,0.02184097316835798,0.0,0,0.8554408260524226,False
399006.SZ,创业板指,5,250,长周期ATR,-0.07591079133295076,0.05289588857298022,-0.015677679748313023,0.010370463904571636,-0.02604814365288466,-0.10854715040834995,2,0.42255758538522636,False
000016.SH,上证50,5,250,长周期ATR,0.01461314581335138,-0.26745636071186063,0.00290800520172918,-0.060395196577113786,0.06330320177884297,-0.17900061422420666,2,0.6115965051628276,False
000300.SH,沪深300,5,250,长周期ATR,0.016969526441251492,-0.19279415271147038,0.00337378202228944,-0.041963437694419015,0.045337219716708455,-0.18096702754402727,5,0.6108022239872914,True
000905.SH,中证500,5,250,长周期ATR,0.0,0.1909677061864794,0.0,0.03560002985418098,-0.03560002985418098,0.0,0,0.05559968228752978,False
000852.SH,中证1000,5,250,长周期ATR,0.09355847552080188,0.18924441633249622,0.018062809030124694,0.035299922477924905,-0.017237113447800212,-0.2702198228445827,1,0.8300238284352661,False
932000.SH,中证2000,5,250,长周期ATR,0.3654687172516964,0.6812540622425114,0.0643337683849472,0.10958994513949638,-0.04525617675454918,-0.37315540955390414,6,0.8339952343129468,False
000001.SH,上证综指,5,250,严格ATR,0.11680976426290401,0.08755227654815001,0.022359088872592192,0.016941144159684285,0.005417944712907907,-0.173788562575506,3,0.6108022239872914,True
399001.SZ,深证成指,5,250,严格ATR,0.0,-0.1044591658027142,0.0,-0.02184097316835798,0.02184097316835798,0.0,0,0.8554408260524226,False
399006.SZ,创业板指,5,250,严格ATR,0.25955449850469914,0.05289588857298022,0.04727156695453405,0.010370463904571636,0.036901103049962414,-0.06389181442583669,1,0.17315329626687848,False
000016.SH,上证50,5,250,严格ATR,-0.06250152659805008,-0.26745636071186063,-0.012835199643170814,-0.060395196577113786,0.04755999693394297,-0.09553079777377615,8,0.10087370929308975,True
