symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,wy_signal,lppl_score,lppl_level,lppl_n_valid,lppl_avg_rmse,lppl_avg_m,fusion_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
002110.SZ,三钢闽光,8,2021-07-28,structural_low,markup,持有观察,C,markup,True,False,AVOID,0.0,none,0,1.0,0.0,AVOID_LPPL_DANGER,-17.45,40.91,25.39,6.19,-23.64
002110.SZ,三钢闽光,9,2021-11-10,rebound_start,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,7.09,22.5,2.0,-11.82,18.91
002110.SZ,三钢闽光,10,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-23.51,7.84,24.96,4.02,-27.53
002110.SZ,三钢闽光,11,2022-10-31,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,22.09,27.55,0.48,13.57,8.52
002110.SZ,三钢闽光,12,2023-05-25,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,9.77,16.82,7.73,-5.02,14.79
002110.SZ,三钢闽光,13,2023-10-23,bear_bottom,accumulation,观察等待,C,spring,True,True,BUY,0.0,none,0,1.0,0.0,BUY_NO_LPPL,-19.33,9.44,25.62,2.21,-21.54
002110.SZ,三钢闽光,14,2024-02-05,crash_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-11.4,12.28,14.62,8.74,-20.14
002110.SZ,三钢闽光,15,2024-05-20,bull_start,accumulation,观察等待,C,spring,True,True,BUY,0.0,none,0,1.0,0.0,BUY_NO_LPPL,-10.3,1.9,31.98,-3.95,-6.35
002110.SZ,三钢闽光,16,2024-09-13,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,26.36,55.81,2.71,21.64,4.72
002110.SZ,三钢闽光,17,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,19.54,49.01,0.33,3.48,16.06
002110.SZ,三钢闽光,18,2025-03-04,bull_start,markup,持有观察,C,markup,True,False,AVOID,0.0,none,0,1.0,0.0,AVOID_LPPL_DANGER,0.48,8.43,21.69,3.44,-2.96
002110.SZ,三钢闽光,19,2025-04-07,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,26.97,46.07,8.71,17.08,9.89
002110.SZ,三钢闽光,20,2025-04-18,rebound_start,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,24.58,45.25,7.82,18.32,6.26
001373.SZ,翔腾新材,14,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,1.52,63.57,9.98,8.74,-7.22
001373.SZ,翔腾新材,15,2024-05-20,bull_start,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-15.28,3.57,24.62,-3.95,-11.33
001373.SZ,翔腾新材,16,2024-09-13,bear_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,22.37,48.02,2.89,21.64,0.73
001373.SZ,翔腾新材,17,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,13.11,29.5,12.0,3.48,9.63
001373.SZ,翔腾新材,18,2025-03-04,bull_start,markup,持有观察,C,markup,True,False,AVOID,0.0,none,0,1.0,0.0,AVOID_LPPL_DANGER,-1.69,10.0,25.25,3.44,-5.13
001373.SZ,翔腾新材,19,2025-04-07,event_bottom,markdown,空仓观望,D,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,23.85,30.57,12.67,17.08,6.77
001373.SZ,翔腾新材,20,2025-04-18,rebound_start,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,17.16,28.47,1.64,18.32,-1.16
301231.SZ,荣信文化,12,2023-05-25,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-18.6,33.85,20.58,-5.02,-13.58
301231.SZ,荣信文化,13,2023-10-23,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-15.93,40.86,52.54,2.21,-18.14
301231.SZ,荣信文化,14,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,29.06,84.02,22.45,8.74,20.32
301231.SZ,荣信文化,15,2024-05-20,bull_start,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-9.01,27.75,23.25,-3.95,-5.06
301231.SZ,荣信文化,16,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,23.76,64.3,4.3,21.64,2.12
301231.SZ,荣信文化,17,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,46.69,81.47,-1.7,3.48,43.21
301231.SZ,荣信文化,18,2025-03-04,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,24.3,60.89,2.4,3.44,20.86
301231.SZ,荣信文化,19,2025-04-07,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,28.46,47.69,1.23,17.08,11.38
301231.SZ,荣信文化,20,2025-04-18,rebound_start,markup,持有观察,C,markup,True,False,AVOID,0.0,none,0,1.0,0.0,AVOID_LPPL_DANGER,1.47,14.15,14.11,18.32,-16.85
688592.SH,司南导航,15,2024-05-20,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-21.6,10.61,30.48,-3.95,-17.65
688592.SH,司南导航,16,2024-09-13,bear_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,40.04,66.34,3.3,21.64,18.4
688592.SH,司南导航,17,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,24.27,27.74,7.44,3.48,20.79
688592.SH,司南导航,18,2025-03-04,bull_start,markup,持有观察,C,markup,True,False,AVOID,0.0,none,0,1.0,0.0,AVOID_LPPL_DANGER,-6.47,19.84,19.26,3.44,-9.91
688592.SH,司南导航,19,2025-04-07,event_bottom,markdown,空仓观望,D,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,25.74,39.79,5.82,17.08,8.66
688592.SH,司南导航,20,2025-04-18,rebound_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,18.69,20.69,15.59,18.32,0.37
600491.SH,龙元建设,1,2017-05-11,bull_start,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,16.79,18.95,5.46,14.49,2.3
600491.SH,龙元建设,2,2018-02-09,crash_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-22.07,22.52,26.09,-8.58,-13.49
600491.SH,龙元建设,3,2018-10-19,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,29.3,35.26,0.0,21.72,7.58
600491.SH,龙元建设,4,2019-01-04,rebound_start,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-3.04,36.03,12.3,18.05,-21.09
600491.SH,龙元建设,5,2019-08-06,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,21.41,38.73,0.65,10.9,10.51
600491.SH,龙元建设,6,2020-03-23,event_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0566,danger,1,0.037173,0.314,MD_NO_LPPL,30.04,50.52,0.0,35.28,-5.24
600491.SH,龙元建设,7,2020-07-01,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-22.32,14.69,22.32,15.55,-37.87
600491.SH,龙元建设,8,2021-07-28,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,47.32,75.99,6.06,6.19,41.13
600491.SH,龙元建设,9,2021-11-10,rebound_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-7.32,19.11,14.49,-11.82,4.5
600491.SH,龙元建设,10,2022-04-27,event_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,33.87,55.04,2.42,4.02,29.85
600491.SH,龙元建设,11,2022-10-31,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-4.07,25.51,5.36,13.57,-17.64
600491.SH,龙元建设,12,2023-05-25,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-5.21,29.07,6.94,-5.02,-0.19
600491.SH,龙元建设,13,2023-10-23,bear_bottom,accumulation,观察等待,C,spring,True,True,BUY,0.0,none,0,1.0,0.0,BUY_NO_LPPL,-33.95,13.26,46.74,2.21,-36.16
600491.SH,龙元建设,14,2024-02-05,crash_bottom,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,9.45,26.38,9.84,8.74,0.71
600491.SH,龙元建设,15,2024-05-20,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,2.13,9.93,16.67,-3.95,6.08
