date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source
2025-06-26,000001.SH,3451.72,3462.75,3446.19,3448.45,496541077.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-27,000001.SH,3450.69,3462.63,3421.04,3424.23,523129432.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-30,000001.SH,3423.47,3447.46,3420.11,3444.43,457348049.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-01,000001.SH,3445.85,3459.59,3441.04,3457.75,444356739.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-02,000001.SH,3458.17,3461.33,3447.96,3454.79,498116776.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-03,000001.SH,3456.15,3463.62,3446.97,3461.15,438543465.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-04,000001.SH,3459.59,3497.22,3455.49,3472.32,500195210.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-07,000001.SH,3467.98,3474.8,3462.79,3473.13,436631340.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-08,000001.SH,3474.63,3499.89,3474.63,3497.48,493484773.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-09,000001.SH,3498.72,3512.67,3491.2,3493.05,523920088.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-10,000001.SH,3491.5,3526.59,3491.5,3509.68,564159805.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-11,000001.SH,3511.37,3555.22,3506.8,3510.18,664185249.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-14,000001.SH,3513.25,3532.12,3513.25,3519.65,572084705.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-15,000001.SH,3519.81,3527.04,3483.38,3505.0,572074726.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-16,000001.SH,3502.9,3511.81,3489.14,3503.78,470878578.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-17,000001.SH,3500.37,3517.28,3499.19,3516.83,472211056.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-18,000001.SH,3519.48,3536.01,3518.23,3534.48,493484088.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-21,000001.SH,3542.82,3560.63,3542.57,3559.79,633649736.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-22,000001.SH,3561.63,3584.72,3547.25,3581.86,716155230.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-23,000001.SH,3588.88,3613.02,3577.59,3582.3,767672388.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-24,000001.SH,3578.91,3608.73,3577.11,3605.73,773265835.0,none,0.0,无信号,hold,0.0,default_cli
