date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,atr_ratio,price_drawdown,recent_drawdown_min,param_source
2023-03-22,399001.SZ,11459.83,11521.42,11448.19,11496.93,445982825.0,none,0.0,持有,hold,0.988120903804217,0.9443497064582245,-0.05438802979719848,-0.0757094600429834,optimal_yaml
2023-03-23,399001.SZ,11457.79,11605.29,11442.95,11605.29,437895647.0,none,0.0,持有,hold,0.988120903804217,0.9607658822343556,-0.04547551897116264,-0.0757094600429834,optimal_yaml
2023-03-24,399001.SZ,11616.46,11648.54,11581.42,11634.22,478515087.0,none,0.0,持有,hold,0.988120903804217,0.9357527823053773,-0.043096052948670915,-0.0757094600429834,optimal_yaml
2023-03-27,399001.SZ,11621.92,11659.0,11558.38,11647.94,494534827.0,none,0.0,持有,hold,0.988120903804217,0.8737891442119218,-0.041967595505581046,-0.0757094600429834,optimal_yaml
2023-03-28,399001.SZ,11637.51,11649.15,11548.42,11564.45,445848465.0,none,0.0,持有,hold,0.988120903804217,0.8838137182123866,-0.04883457159330462,-0.0757094600429834,optimal_yaml
2023-03-29,399001.SZ,11584.91,11623.43,11538.17,11579.91,413801868.0,none,0.0,持有,hold,0.988120903804217,0.8726045490453795,-0.045443979161171266,-0.0757094600429834,optimal_yaml
2023-03-30,399001.SZ,11578.33,11656.48,11505.55,11651.83,392284297.0,none,0.0,持有,hold,0.988120903804217,0.8777283751248954,-0.038120758386641196,-0.0757094600429834,optimal_yaml
2023-03-31,399001.SZ,11666.31,11737.28,11657.57,11726.4,399637085.0,none,0.0,持有,hold,0.988120903804217,0.8662781722982195,-0.03196487256895353,-0.0757094600429834,optimal_yaml
2023-04-03,399001.SZ,11751.68,11898.76,11751.68,11889.42,497823896.0,none,0.0,持有,hold,0.988120903804217,0.8463058769855356,-0.018507282304779493,-0.0757094600429834,optimal_yaml
2023-04-04,399001.SZ,11878.16,11885.38,11792.24,11859.48,508214233.0,none,0.0,持有,hold,0.988120903804217,0.8344834556000721,-0.02097888243058854,-0.0757094600429834,optimal_yaml
2023-04-06,399001.SZ,11787.35,11874.8,11778.8,11866.31,454537864.0,none,0.0,持有,hold,0.988120903804217,0.793842837239952,-0.020415053811374206,-0.0757094600429834,optimal_yaml
2023-04-07,399001.SZ,11867.87,11979.59,11858.5,11967.74,427697141.0,none,0.0,持有,hold,0.988120903804217,0.7851506810779426,-0.012041827333057697,-0.0757094600429834,optimal_yaml
2023-04-10,399001.SZ,11987.68,11992.32,11845.88,11871.93,478316981.0,none,0.0,持有,hold,0.988120903804217,0.8063266970960313,-0.01995111283919493,-0.0757094600429834,optimal_yaml
2023-04-11,399001.SZ,11866.35,11914.32,11819.76,11877.15,423094684.0,none,0.0,持有,hold,0.988120903804217,0.7702008001673245,-0.018006703629782406,-0.0757094600429834,optimal_yaml
2023-04-12,399001.SZ,11873.26,11912.95,11842.26,11883.51,452203992.0,none,0.0,持有,hold,0.988120903804217,0.7647985626953523,-0.014992067557553668,-0.0757094600429834,optimal_yaml
2023-04-13,399001.SZ,11836.82,11844.4,11727.89,11739.84,470307590.0,none,0.0,持有,hold,0.988120903804217,0.767201317615658,-0.01911334659024444,-0.0757094600429834,optimal_yaml
2023-04-14,399001.SZ,11760.43,11816.68,11737.3,11800.09,439951634.0,none,0.0,持有,hold,0.988120903804217,0.7814969741227159,-0.014079340942131924,-0.07493385117357121,optimal_yaml
2023-04-17,399001.SZ,11783.68,11855.48,11781.29,11855.48,423633406.0,none,0.0,持有,hold,0.988120903804217,0.77621018376315,-0.00945139782430704,-0.07493385117357121,optimal_yaml
2023-04-18,399001.SZ,11834.77,11891.11,11818.25,11860.4,397866670.0,none,0.0,持有,hold,0.988120903804217,0.7718031658106848,-0.009040322176361526,-0.06011914602420265,optimal_yaml
2023-04-19,399001.SZ,11844.32,11844.32,11743.85,11760.27,414923104.0,none,0.0,持有,hold,0.988120903804217,0.7971796902447659,-0.017335770997698785,-0.05438802979719848,optimal_yaml
2023-04-20,399001.SZ,11751.38,11751.38,11659.65,11717.26,433953326.0,none,0.0,持有,hold,0.988120903804217,0.7807316447199585,-0.02092959907217229,-0.04883457159330462,optimal_yaml
2023-04-21,399001.SZ,11729.8,11751.41,11450.13,11450.43,479311978.0,none,0.0,持有,hold,0.988120903804217,0.9020412904167878,-0.0432253708720276,-0.04883457159330462,optimal_yaml
2023-04-24,399001.SZ,11442.38,11452.91,11265.77,11317.01,427155286.0,none,0.0,持有,hold,0.988120903804217,0.9167815809078741,-0.054373674561780216,-0.054373674561780216,optimal_yaml
2023-04-25,399001.SZ,11307.09,11320.45,11034.18,11149.01,463773504.0,none,0.0,持有,hold,0.988120903804217,1.023316238084296,-0.06841141268109097,-0.06841141268109097,optimal_yaml
2023-04-26,399001.SZ,11101.18,11244.04,11088.2,11185.68,438565413.0,none,0.0,持有,hold,0.988120903804217,1.0604210577220914,-0.0653473421046914,-0.06841141268109097,optimal_yaml
2023-04-27,399001.SZ,11140.89,11258.76,11128.11,11217.0,415685321.0,none,0.0,持有,hold,0.988120903804217,1.0696185779712017,-0.06273030664101997,-0.06841141268109097,optimal_yaml
2023-04-28,399001.SZ,11228.46,11340.46,11228.46,11338.67,453848625.0,none,0.0,MA死叉信号,sell,0.0,1.0607453315417592,-0.052563809039969045,-0.06841141268109097,optimal_yaml
2023-05-04,399001.SZ,11310.35,11329.0,11242.12,11273.87,482011992.0,none,0.0,持有,hold,0.0,1.064868508305384,-0.05797836517170318,-0.06841141268109097,optimal_yaml
2023-05-05,399001.SZ,11260.62,11262.33,11124.91,11180.87,442026270.0,none,0.0,持有,hold,0.0,1.1097681300056743,-0.06574925591632164,-0.06841141268109097,optimal_yaml
2023-05-08,399001.SZ,11206.33,11234.92,11158.83,11225.77,439329142.0,none,0.0,持有,hold,0.0,1.0716054695384192,-0.061997503288005906,-0.06841141268109097,optimal_yaml
2023-05-09,399001.SZ,11208.74,11265.33,11121.97,11125.02,481338002.0,none,0.0,持有,hold,0.0,1.107464297375791,-0.07041596826134255,-0.07041596826134255,optimal_yaml
2023-05-10,399001.SZ,11101.01,11177.81,11043.36,11140.19,394663045.0,none,0.0,持有,hold,0.0,1.1387869092873701,-0.06914839393235472,-0.07041596826134255,optimal_yaml
2023-05-11,399001.SZ,11158.72,11200.91,11136.26,11142.53,385308783.0,none,0.0,持有,hold,0.0,1.1305367842960403,-0.06895286829426439,-0.07041596826134255,optimal_yaml
2023-05-12,399001.SZ,11131.3,11172.71,11004.26,11005.64,367693644.0,none,0.0,持有,hold,0.0,1.1542438670387916,-0.08039111812255284,-0.08039111812255284,optimal_yaml
2023-05-15,399001.SZ,11019.7,11178.62,10995.7,11178.62,384684379.0,none,0.0,持有,hold,0.0,1.19491563281465,-0.06593726133756239,-0.08039111812255284,optimal_yaml
2023-05-16,399001.SZ,11182.36,11182.36,11069.44,11099.26,353743511.0,none,0.0,持有,hold,0.0,1.091539929357091,-0.07256842143963682,-0.08039111812255284,optimal_yaml
2023-05-17,399001.SZ,11084.56,11120.97,11036.77,11091.08,326266963.0,none,0.0,持有,hold,0.0,1.0367316910824467,-0.07325192559330329,-0.08039111812255284,optimal_yaml
