symbol,strategy,action,entry_price,stop_loss,take_profit,confidence,phase,regime,macro_regime,stock_regime,current_price,upside_pct,net_upside_pct,risk_pct,est_cost_pct,name,analysis_date,ma5,ma20
603179.SH,ma_cross,buy,71.71,64.81,82.06,B,golden_cross,,,,71.71,14.43,14.18,9.62,0.25,新泉股份,2026-05-13,71.048,64.849
603191.SH,ma_cross,buy,21.54,19.988,23.868,B,golden_cross,,,,21.54,10.81,10.56,7.21,0.25,望变电气,2026-05-13,20.874,20.639
603206.SH,wyckoff,buy,17.74,14.656,18.16,C,markup,range,bull,range,17.74,2.37,2.12,17.38,0.25,嘉环科技,2026-05-13,,
603222.SH,wyckoff,buy,10.3,8.358,11.52,C,markup,range,bull,range,10.3,11.84,11.59,18.85,0.25,济民健康,2026-05-13,,
603222.SH,ma_cross,buy,10.3,9.356,11.716,B,golden_cross,,,,10.3,13.75,13.5,9.17,0.25,济民健康,2026-05-13,10.276,10.105
603229.SH,ma_cross,buy,10.09,9.434,11.074,B,golden_cross,,,,10.09,9.75,9.5,6.5,0.25,奥翔药业,2026-05-13,10.184,10.103
603239.SH,ma_cross,buy,23.6,21.53,26.705,B,golden_cross,,,,23.6,13.16,12.91,8.77,0.25,浙江仙通,2026-05-13,24.748,24.355
603232.SH,ma_cross,buy,19.64,18.267,21.7,B,golden_cross,,,,19.64,10.49,10.24,6.99,0.25,格尔软件,2026-05-13,19.678,19.408
603261.SH,ma_cross,buy,38.08,35.06,42.61,B,golden_cross,,,,38.08,11.9,11.65,7.93,0.25,*ST立航,2026-05-13,36.588,35.639
603276.SH,wyckoff,buy,18.01,15.084,18.84,C,markup,range,bull,range,18.01,4.61,4.36,16.25,0.25,恒兴新材,2026-05-13,,
603273.SH,ma_cross,buy,17.86,17.047,19.079,B,golden_cross,,,,17.86,6.83,6.58,4.55,0.25,天元智能,2026-05-13,18.096,17.825
603270.SH,wyckoff,buy,28.52,22.756,29.14,B,markup,bull,bull,bull,28.52,2.17,1.92,20.21,0.25,金帝股份,2026-05-13,,
