symbol,symbol_name,fast_ma,slow_ma,atr_config,cooldown_days,total_return,benchmark_return,annualized_return,annualized_benchmark,annualized_excess_return,max_drawdown,trade_count,holding_ratio,eligible
000016.SH,上证50,10,20,低波,60,0.03715032073485114,-0.043010897758050226,0.006277054160415796,-0.007513324632236529,0.013790378792652325,-0.18461990420526841,13,0.5268890401633765,True
000300.SH,沪深300,10,20,低波,60,0.009758709988602288,0.08796885835723467,0.0016673334063048717,0.014568516085060601,-0.01290118267875573,-0.28639081893949725,8,0.6024506466984343,False
000905.SH,中证500,10,20,低波,60,0.1155200206813487,0.34243545124274366,0.018930396143600925,0.051815362855263114,-0.03288496671166219,-0.1349137354417913,3,0.25255275697753576,False
000852.SH,中证1000,10,20,低波,60,-0.15366164926939918,0.23020960052344552,-0.028214265283756035,0.03618068123075746,-0.0643949465145135,-0.382452085358302,5,0.39142273655547993,False
932000.SH,中证2000,10,20,低波,60,0.05806623745745165,0.5888259077982627,0.009729546181190374,0.08266398506961314,-0.07293443888842277,-0.24598205900222803,14,0.7862491490810075,False
000001.SH,上证综指,10,20,低波,120,0.0970414213776496,0.28973705804231975,0.016014883096201693,0.04461427037618493,-0.028599387279983235,-0.17662423828081697,6,0.7297481279782164,False
399001.SZ,深证成指,10,20,低波,120,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,10,20,低波,120,-0.025875683775498648,0.5029503771193011,-0.004487192928509187,0.07239311275556881,-0.076880305684078,-0.09612864573701674,4,0.16473791695030632,False
000016.SH,上证50,10,20,低波,120,0.059460122279751504,-0.043010897758050226,0.009957612406118477,-0.007513324632236529,0.017470937038355006,-0.09510291883850941,7,0.4785568413886998,True
000300.SH,沪深300,10,20,低波,120,0.09623997465535328,0.08796885835723467,0.015887514632980215,0.014568516085060601,0.0013189985479196142,-0.06459860229388281,2,0.22872702518720217,False
000905.SH,中证500,10,20,低波,120,0.18039559826635143,0.34243545124274366,0.028859307647431276,0.051815362855263114,-0.022956055207831838,-0.10037447479775752,1,0.23076923076923078,False
000852.SH,中证1000,10,20,低波,120,0.0,0.23020960052344552,0.0,0.03618068123075746,-0.03618068123075746,0.0,0,0.0,False
932000.SH,中证2000,10,20,低波,120,0.1376444803766519,0.5888259077982627,0.022368973250743496,0.08266398506961314,-0.06029501181886965,-0.2217485819853151,10,0.6426140231449966,False
000001.SH,上证综指,10,20,低波,250,-0.027493864049548566,0.28973705804231975,-0.004771074468579384,0.04461427037618493,-0.04938534484476431,-0.05860319349930421,2,0.17426820966643974,False
399001.SZ,深证成指,10,20,低波,250,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,10,20,低波,250,0.24192522231089986,0.5029503771193011,0.03786682184912715,0.07239311275556881,-0.03452629090644166,-0.19454727046190068,3,0.4846834581347856,False
000016.SH,上证50,10,20,低波,250,0.0580298579206473,-0.043010897758050226,0.009723590460751774,-0.007513324632236529,0.017236915092988303,-0.0952207416672669,3,0.4833219877467665,True
