symbol,symbol_name,fast_ma,slow_ma,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,annualized_excess_return,max_drawdown,trade_count,turnover_rate,whipsaw_rate,enable_volatility_scaling,target_volatility,eligible,group,candidate_key,group_eligible
000016.SH,上证50,20,250,20,40,1.0,1.05,0.014587023075774863,-0.028035715560250307,2,2.0023771663970242,0.0,False,0.15,False,large_cap,vol_off|tv=0.15|atr=20/40|buy=1.00|sell=1.05,False
000300.SH,沪深300,20,250,20,40,1.0,1.05,0.0515833680557336,-0.303440173890853,5,5.808972020371413,0.0,False,0.15,True,large_cap,vol_off|tv=0.15|atr=20/40|buy=1.00|sell=1.05,True
000001.SH,上证综指,20,250,20,40,1.0,1.05,0.005738242143112915,-0.2429206284806147,5,5.321724743734909,0.0,True,0.12,True,large_cap,vol_on|tv=0.12|atr=20/40|buy=1.00|sell=1.05,True
000016.SH,上证50,20,250,20,40,1.0,1.05,0.01451265296042259,-0.02288678234026087,2,1.626440428608429,0.0,True,0.12,False,large_cap,vol_on|tv=0.12|atr=20/40|buy=1.00|sell=1.05,False
000300.SH,沪深300,20,250,20,40,1.0,1.05,0.05065045991528172,-0.3008964660604342,6,5.749199293180796,0.0,True,0.12,True,large_cap,vol_on|tv=0.12|atr=20/40|buy=1.00|sell=1.05,True
000001.SH,上证综指,20,250,20,40,1.0,1.05,0.009824699689616079,-0.25746843518842644,5,5.449677682207638,0.0,True,0.15,True,large_cap,vol_on|tv=0.15|atr=20/40|buy=1.00|sell=1.05,True
000016.SH,上证50,20,250,20,40,1.0,1.05,0.014587023075774863,-0.028035715560250307,2,2.0023771663970242,0.0,True,0.15,False,large_cap,vol_on|tv=0.15|atr=20/40|buy=1.00|sell=1.05,False
000300.SH,沪深300,20,250,20,40,1.0,1.05,0.0515833680557336,-0.303440173890853,5,5.808972020371413,0.0,True,0.15,True,large_cap,vol_on|tv=0.15|atr=20/40|buy=1.00|sell=1.05,True
000001.SH,上证综指,20,250,20,40,1.05,1.05,0.009824699689616079,-0.25746843518842644,5,5.449677682207638,0.0,False,0.15,True,large_cap,vol_off|tv=0.15|atr=20/40|buy=1.05|sell=1.05,True
000016.SH,上证50,20,250,20,40,1.05,1.05,-0.0025317361682817285,-0.46335414935953856,5,4.685832969044605,0.0,False,0.15,False,large_cap,vol_off|tv=0.15|atr=20/40|buy=1.05|sell=1.05,False
000300.SH,沪深300,20,250,20,40,1.05,1.05,0.0515833680557336,-0.303440173890853,5,5.808972020371413,0.0,False,0.15,True,large_cap,vol_off|tv=0.15|atr=20/40|buy=1.05|sell=1.05,True
000001.SH,上证综指,20,250,20,40,1.05,1.05,0.005738242143112915,-0.2429206284806147,5,5.321724743734909,0.0,True,0.12,True,large_cap,vol_on|tv=0.12|atr=20/40|buy=1.05|sell=1.05,True
000016.SH,上证50,20,250,20,40,1.05,1.05,0.008065314909186605,-0.40329886743116783,7,3.5996674227206724,0.0,True,0.12,False,large_cap,vol_on|tv=0.12|atr=20/40|buy=1.05|sell=1.05,False
000300.SH,沪深300,20,250,20,40,1.05,1.05,0.05065045991528172,-0.3008964660604342,6,5.749199293180796,0.0,True,0.12,True,large_cap,vol_on|tv=0.12|atr=20/40|buy=1.05|sell=1.05,True
000001.SH,上证综指,20,250,20,40,1.05,1.05,0.009824699689616079,-0.25746843518842644,5,5.449677682207638,0.0,True,0.15,True,large_cap,vol_on|tv=0.15|atr=20/40|buy=1.05|sell=1.05,True
000016.SH,上证50,20,250,20,40,1.05,1.05,0.0011888379619630074,-0.4544103452224707,7,4.180768662267114,0.0,True,0.15,False,large_cap,vol_on|tv=0.15|atr=20/40|buy=1.05|sell=1.05,False
000300.SH,沪深300,20,250,20,40,1.05,1.05,0.0515833680557336,-0.303440173890853,5,5.808972020371413,0.0,True,0.15,True,large_cap,vol_on|tv=0.15|atr=20/40|buy=1.05|sell=1.05,True
399001.SZ,深证成指,20,250,14,20,1.0,1.15,-0.08574209992352044,-0.3290618432616884,2,1.7741256545847222,0.0,False,0.15,False,balanced,vol_off|tv=0.15|atr=14/20|buy=1.00|sell=1.15,False
000905.SH,中证500,20,250,14,20,1.0,1.15,-0.06302498412060498,0.0,0,0.0,0.0,False,0.15,False,balanced,vol_off|tv=0.15|atr=14/20|buy=1.00|sell=1.15,False
399001.SZ,深证成指,20,250,14,20,1.0,1.15,-0.08574209992352044,-0.3290618432616884,2,1.7741256545847222,0.0,True,0.15,False,balanced,vol_on|tv=0.15|atr=14/20|buy=1.00|sell=1.15,False
000905.SH,中证500,20,250,14,20,1.0,1.15,-0.06302498412060498,0.0,0,0.0,0.0,True,0.15,False,balanced,vol_on|tv=0.15|atr=14/20|buy=1.00|sell=1.15,False
399001.SZ,深证成指,20,250,14,20,1.0,1.15,-0.08574209992352044,-0.3290618432616884,2,1.7741256545847222,0.0,True,0.18,False,balanced,vol_on|tv=0.18|atr=14/20|buy=1.00|sell=1.15,False
000905.SH,中证500,20,250,14,20,1.0,1.15,-0.06302498412060498,0.0,0,0.0,0.0,True,0.18,False,balanced,vol_on|tv=0.18|atr=14/20|buy=1.00|sell=1.15,False
399001.SZ,深证成指,20,250,14,20,1.05,1.15,-0.08574209992352044,-0.3290618432616884,2,1.7741256545847222,0.0,False,0.15,False,balanced,vol_off|tv=0.15|atr=14/20|buy=1.05|sell=1.15,False
000905.SH,中证500,20,250,14,20,1.05,1.15,-0.06302498412060498,0.0,0,0.0,0.0,False,0.15,False,balanced,vol_off|tv=0.15|atr=14/20|buy=1.05|sell=1.15,False
399001.SZ,深证成指,20,250,14,20,1.05,1.15,-0.08574209992352044,-0.3290618432616884,2,1.7741256545847222,0.0,True,0.15,False,balanced,vol_on|tv=0.15|atr=14/20|buy=1.05|sell=1.15,False
000905.SH,中证500,20,250,14,20,1.05,1.15,-0.06302498412060498,0.0,0,0.0,0.0,True,0.15,False,balanced,vol_on|tv=0.15|atr=14/20|buy=1.05|sell=1.15,False
399001.SZ,深证成指,20,250,14,20,1.05,1.15,-0.08574209992352044,-0.3290618432616884,2,1.7741256545847222,0.0,True,0.18,False,balanced,vol_on|tv=0.18|atr=14/20|buy=1.05|sell=1.15,False
000905.SH,中证500,20,250,14,20,1.05,1.15,-0.06302498412060498,0.0,0,0.0,0.0,True,0.18,False,balanced,vol_on|tv=0.18|atr=14/20|buy=1.05|sell=1.15,False
399001.SZ,深证成指,20,250,14,60,1.0,1.05,-0.02720551051835618,-0.3893846369500683,3,2.9322813227557663,0.0,False,0.15,False,balanced,vol_off|tv=0.15|atr=14/60|buy=1.00|sell=1.05,False
000905.SH,中证500,20,250,14,60,1.0,1.05,-0.027038713355406196,-0.31147333037356506,1,0.9997000899730083,0.0,False,0.15,False,balanced,vol_off|tv=0.15|atr=14/60|buy=1.00|sell=1.05,False
399001.SZ,深证成指,20,250,14,60,1.0,1.05,-0.02720551051835618,-0.3893846369500683,3,2.9322813227557663,0.0,True,0.15,False,balanced,vol_on|tv=0.15|atr=14/60|buy=1.00|sell=1.05,False
000905.SH,中证500,20,250,14,60,1.0,1.05,-0.027038713355406196,-0.31147333037356506,1,0.9997000899730083,0.0,True,0.15,False,balanced,vol_on|tv=0.15|atr=14/60|buy=1.00|sell=1.05,False
399001.SZ,深证成指,20,250,14,60,1.0,1.05,-0.02720551051835618,-0.3893846369500683,3,2.9322813227557663,0.0,True,0.18,False,balanced,vol_on|tv=0.18|atr=14/60|buy=1.00|sell=1.05,False
000905.SH,中证500,20,250,14,60,1.0,1.05,-0.027038713355406196,-0.31147333037356506,1,0.9997000899730083,0.0,True,0.18,False,balanced,vol_on|tv=0.18|atr=14/60|buy=1.00|sell=1.05,False
399001.SZ,深证成指,20,250,14,60,1.05,1.05,-0.02720551051835618,-0.3893846369500683,3,2.9322813227557663,0.0,False,0.15,False,balanced,vol_off|tv=0.15|atr=14/60|buy=1.05|sell=1.05,False
000905.SH,中证500,20,250,14,60,1.05,1.05,-0.027038713355406196,-0.31147333037356506,1,0.9997000899730083,0.0,False,0.15,False,balanced,vol_off|tv=0.15|atr=14/60|buy=1.05|sell=1.05,False
399001.SZ,深证成指,20,250,14,60,1.05,1.05,-0.02720551051835618,-0.3893846369500683,3,2.9322813227557663,0.0,True,0.15,False,balanced,vol_on|tv=0.15|atr=14/60|buy=1.05|sell=1.05,False
000905.SH,中证500,20,250,14,60,1.05,1.05,-0.027038713355406196,-0.31147333037356506,1,0.9997000899730083,0.0,True,0.15,False,balanced,vol_on|tv=0.15|atr=14/60|buy=1.05|sell=1.05,False
399001.SZ,深证成指,20,250,14,60,1.05,1.05,-0.02720551051835618,-0.3893846369500683,3,2.9322813227557663,0.0,True,0.18,False,balanced,vol_on|tv=0.18|atr=14/60|buy=1.05|sell=1.05,False
000905.SH,中证500,20,250,14,60,1.05,1.05,-0.027038713355406196,-0.31147333037356506,1,0.9997000899730083,0.0,True,0.18,False,balanced,vol_on|tv=0.18|atr=14/60|buy=1.05|sell=1.05,False
