symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,factor_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
603195.SH,公牛集团,14,2024-02-05,crash_bottom,accumulation,观察等待,C,spring,True,True,BUY,-18.93,35.72,19.95,8.74,-27.67
603195.SH,公牛集团,15,2024-05-20,bull_start,markup,持有观察,C,markup,True,False,AVOID,-40.54,3.18,50.5,-3.95,-36.59
603195.SH,公牛集团,16,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,12.96,45.92,1.5,21.64,-8.68
603195.SH,公牛集团,17,2024-10-08,crash_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,-8.88,0.12,19.32,-7.69,-1.19
603195.SH,公牛集团,18,2025-01-13,structural_low,accumulation,观察等待,C,spring,True,True,BUY,8.06,17.22,2.63,3.48,4.58
603195.SH,公牛集团,19,2025-03-04,bull_start,markup,持有观察,C,markup,True,False,AVOID,-37.27,4.47,37.59,3.44,-40.71
603195.SH,公牛集团,20,2025-04-07,event_bottom,markdown,空仓观望,D,markdown,True,False,HOLD,-30.16,9.02,31.33,17.08,-47.24
601236.SH,红塔证券,4,2020-03-23,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,5.82,29.82,16.64,35.28,-29.46
601236.SH,红塔证券,5,2020-07-01,bull_start,unknown,空仓观望,D,no_signal,False,False,HOLD,-8.63,39.41,11.57,15.55,-24.18
601236.SH,红塔证券,6,2021-03-09,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,-6.95,10.35,11.58,2.78,-9.73
601236.SH,红塔证券,7,2021-07-28,structural_low,accumulation,观察等待,C,spring,True,True,BUY,-13.02,7.78,17.89,6.19,-19.21
601236.SH,红塔证券,8,2021-11-10,rebound_start,markdown,空仓观望,B,markdown,True,False,HOLD,-18.4,12.53,24.0,-11.82,-6.58
601236.SH,红塔证券,9,2022-04-27,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,-6.28,24.45,15.09,4.02,-10.3
601236.SH,红塔证券,10,2022-10-31,bear_bottom,markdown,空仓观望,D,markdown,True,False,HOLD,15.55,38.38,0.28,13.57,1.98
601236.SH,红塔证券,11,2022-12-23,rebound_start,unknown,空仓观望,D,no_signal,False,False,HOLD,12.23,31.38,3.99,2.86,9.37
601236.SH,红塔证券,12,2023-05-25,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,-4.24,24.31,8.35,-5.02,0.78
601236.SH,红塔证券,13,2023-10-23,bear_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,-2.58,6.32,15.74,2.21,-4.79
601236.SH,红塔证券,14,2024-02-05,crash_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,-1.66,21.87,5.13,8.74,-10.4
