symbol,symbol_name,fast_ma,slow_ma,atr_config,cooldown_days,total_return,benchmark_return,annualized_return,annualized_benchmark,annualized_excess_return,max_drawdown,trade_count,holding_ratio,eligible
399001.SZ,深证成指,5,10,高波,120,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,5,10,高波,120,-0.037085783921050886,0.5029503771193011,-0.006461890462488462,0.07239311275556881,-0.07885500321805727,-0.039720140895999956,2,0.08236895847515316,False
000016.SH,上证50,5,10,高波,120,0.03539312498704916,-0.043010897758050226,0.005984383120339443,-0.007513324632236529,0.013497707752575971,-0.09712517083921901,5,0.4036759700476515,True
000300.SH,沪深300,5,10,高波,120,0.11284024674339865,0.08796885835723467,0.018510079458198714,0.014568516085060601,0.003941563373138113,-0.06368242362582877,2,0.22940776038121172,False
000905.SH,中证500,5,10,高波,120,0.19011236692269917,0.34243545124274366,0.03030725585387395,0.051815362855263114,-0.021508107001389165,-0.09944508359563053,1,0.2314499659632403,False
000852.SH,中证1000,5,10,高波,120,0.0,0.23020960052344552,0.0,0.03618068123075746,-0.03618068123075746,0.0,0,0.0,False
932000.SH,中证2000,5,10,高波,120,0.15529393486199927,0.5888259077982627,0.02507254233308509,0.08266398506961314,-0.05759144273652805,-0.20511556185039992,7,0.5527569775357386,False
000001.SH,上证综指,5,10,高波,250,0.15923449774834775,0.28973705804231975,0.02567148651479978,0.04461427037618493,-0.01894278386138515,-0.08593252300972265,2,0.45813478556841386,False
399001.SZ,深证成指,5,10,高波,250,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,5,10,高波,250,0.23963959476859809,0.5029503771193011,0.037538906524810844,0.07239311275556881,-0.03485420623075797,-0.195128089575625,3,0.4846834581347856,False
000016.SH,上证50,5,10,高波,250,0.0580298579206473,-0.043010897758050226,0.009723590460751774,-0.007513324632236529,0.017236915092988303,-0.0952207416672669,3,0.4833219877467665,True
000300.SH,沪深300,5,10,高波,250,0.1420646119235487,0.08796885835723467,0.023049299405891954,0.014568516085060601,0.008480783320831353,-0.06296011831264403,2,0.3117767188563649,False
000905.SH,中证500,5,10,高波,250,0.0,0.34243545124274366,0.0,0.051815362855263114,-0.051815362855263114,0.0,0,0.0,False
000852.SH,中证1000,5,10,高波,250,0.0,0.23020960052344552,0.0,0.03618068123075746,-0.03618068123075746,0.0,0,0.0,False
932000.SH,中证2000,5,10,高波,250,0.022181447734349158,0.5888259077982627,0.0037706257037943836,0.08266398506961314,-0.07889335936581876,-0.09085773950291298,3,0.2995234853641933,False
000001.SH,上证综指,5,10,高波,360,0.18766932575130202,0.28973705804231975,0.029944129377747375,0.04461427037618493,-0.014670140998437553,-0.1063985389352915,2,0.49081007488087136,False
399001.SZ,深证成指,5,10,高波,360,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,5,10,高波,360,0.0,0.5029503771193011,0.0,0.07239311275556881,-0.07239311275556881,0.0,0,0.0,False
000016.SH,上证50,5,10,高波,360,0.019646015493298252,-0.043010897758050226,0.0033430786622965503,-0.007513324632236529,0.010856403294533079,-0.06761100189723601,2,0.49081007488087136,False
000300.SH,沪深300,5,10,高波,360,0.049985979207351816,0.08796885835723467,0.008402535945104761,0.014568516085060601,-0.00616598013995584,-0.09870542718641351,1,0.494213750850919,False
000905.SH,中证500,5,10,高波,360,0.11181482893724759,0.34243545124274366,0.018349023078416904,0.051815362855263114,-0.03346633977684621,-0.19841798977408887,2,0.4914908100748809,False
000852.SH,中证1000,5,10,高波,360,0.0,0.23020960052344552,0.0,0.03618068123075746,-0.03618068123075746,0.0,0,0.0,False
932000.SH,中证2000,5,10,高波,360,-0.010132563060099797,0.5888259077982627,-0.0017455341530425716,0.08266398506961314,-0.08440951922265572,-0.08387449187518226,2,0.2498298162014976,False
000001.SH,上证综指,5,20,低波,30,0.08974779672275601,0.28973705804231975,0.014852903653169047,0.04461427037618493,-0.02976136672301588,-0.23142739040477744,18,0.8291354663036079,False
399001.SZ,深证成指,5,20,低波,30,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,5,20,低波,30,-0.05198149734534796,0.5029503771193011,-0.009115502084651839,0.07239311275556881,-0.08150861484022065,-0.26226440564326114,21,0.38461538461538464,False
000016.SH,上证50,5,20,低波,30,0.19131568411675137,-0.043010897758050226,0.030485886446381727,-0.007513324632236529,0.037999211078618256,-0.22683712421136093,15,0.6160653505786249,True
000300.SH,沪深300,5,20,低波,30,0.11067670511685135,0.08796885835723467,0.01817012046846478,0.014568516085060601,0.0036016043834041778,-0.27601099869390966,8,0.6378488767869299,True
000905.SH,中证500,5,20,低波,30,-0.07484929814589869,0.34243545124274366,-0.01325732473468011,0.051815362855263114,-0.06507268758994322,-0.34108663537158357,5,0.6085772634445201,False
000852.SH,中证1000,5,20,低波,30,-0.3311706036088484,0.23020960052344552,-0.06667333173251033,0.03618068123075746,-0.1028540129632678,-0.4107651856392105,6,0.27978216473791695,False
932000.SH,中证2000,5,20,低波,30,0.1348307587916513,0.5888259077982627,0.021934756729355076,0.08266398506961314,-0.06072922834025807,-0.29484697247980773,28,0.6820966643975493,False
000001.SH,上证综指,5,20,低波,60,0.229647104919096,0.28973705804231975,0.036099391342364395,0.04461427037618493,-0.008514879033820533,-0.21299817758922035,5,0.9543907420013614,False
399001.SZ,深证成指,5,20,低波,60,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,5,20,低波,60,0.058248645822200684,0.5029503771193011,0.009759405829722123,0.07239311275556881,-0.06263370692584669,-0.1153779458327,10,0.21783526208304968,False
000016.SH,上证50,5,20,低波,60,0.11784766796680257,-0.043010897758050226,0.019294804231125173,-0.007513324632236529,0.026808128863361702,-0.174575015175657,11,0.5738597685500341,True
000300.SH,沪深300,5,20,低波,60,0.033463707826450806,0.08796885835723467,0.00566255326782672,0.014568516085060601,-0.008905962817233881,-0.2328055677352886,6,0.6358066712049013,False
000905.SH,中证500,5,20,低波,60,0.1327835319302475,0.34243545124274366,0.02161826558991109,0.051815362855263114,-0.030197097265352024,-0.19983948759369297,1,0.48672566371681414,False
000852.SH,中证1000,5,20,低波,60,0.020140403067551382,0.23020960052344552,0.003426515746047354,0.03618068123075746,-0.03275416548471011,-0.21496504474140865,3,0.22328114363512594,False
932000.SH,中证2000,5,20,低波,60,-0.10878959122120002,0.5888259077982627,-0.01956377625884298,0.08266398506961314,-0.10222776132845612,-0.2795694582052878,16,0.7270251872021783,False
