symbol,symbol_name,fast_ma,slow_ma,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,annualized_excess_return,max_drawdown,trade_count,turnover_rate,whipsaw_rate,enable_volatility_scaling,target_volatility,eligible,group,candidate_key,calmar_ratio
399006.SZ,创业板指,5,250,14,40,1.0,1.05,-0.0670185416525182,-0.060411755850752424,1,0.3755979048922139,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.05|vol_on|tv=0.18,-1.1093625852903177
000852.SH,中证1000,5,250,14,40,1.0,1.05,-0.04716316268476439,-0.2684765022075096,7,5.411175478971575,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.05|vol_on|tv=0.18,-0.175669610923012
932000.SH,中证2000,5,250,14,40,1.0,1.05,-0.028079919678247522,-0.4357578757735583,10,6.221683343393061,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.05|vol_on|tv=0.18,-0.0644392706119195
399006.SZ,创业板指,5,250,14,40,1.0,1.05,-0.06338624583465835,-0.06570740251531348,1,0.41733100543579327,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.05|vol_on|tv=0.20,-0.9646743503501881
000852.SH,中证1000,5,250,14,40,1.0,1.05,-0.04653079673126648,-0.2748103588161731,6,5.553263666652913,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.05|vol_on|tv=0.20,-0.16931966077156496
932000.SH,中证2000,5,250,14,40,1.0,1.05,-0.027429400275641447,-0.4389818375814427,9,6.564623445647634,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.05|vol_on|tv=0.20,-0.06248413471218515
399006.SZ,创业板指,5,250,14,40,1.0,1.1,-0.0670185416525182,-0.060411755850752424,1,0.3755979048922139,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.10|vol_on|tv=0.18,-1.1093625852903177
000852.SH,中证1000,5,250,14,40,1.0,1.1,-0.04716316268476439,-0.2684765022075096,7,5.411175478971575,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.10|vol_on|tv=0.18,-0.175669610923012
932000.SH,中证2000,5,250,14,40,1.0,1.1,-0.028079919678247522,-0.4357578757735583,10,6.221683343393061,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.10|vol_on|tv=0.18,-0.0644392706119195
399006.SZ,创业板指,5,250,14,40,1.0,1.1,-0.06338624583465835,-0.06570740251531348,1,0.41733100543579327,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.10|vol_on|tv=0.20,-0.9646743503501881
000852.SH,中证1000,5,250,14,40,1.0,1.1,-0.04653079673126648,-0.2748103588161731,6,5.553263666652913,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.10|vol_on|tv=0.20,-0.16931966077156496
932000.SH,中证2000,5,250,14,40,1.0,1.1,-0.027429400275641447,-0.4389818375814427,9,6.564623445647634,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.10|vol_on|tv=0.20,-0.06248413471218515
399006.SZ,创业板指,5,250,14,40,1.0,1.15,-0.0670185416525182,-0.060411755850752424,1,0.3755979048922139,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.15|vol_on|tv=0.18,-1.1093625852903177
000852.SH,中证1000,5,250,14,40,1.0,1.15,-0.041123040479754014,-0.26847650220750974,6,4.397193527295195,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.15|vol_on|tv=0.18,-0.153171842383321
932000.SH,中证2000,5,250,14,40,1.0,1.15,-0.028079919678247522,-0.4357578757735583,10,6.221683343393061,0.0,True,0.18,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.15|vol_on|tv=0.18,-0.0644392706119195
399006.SZ,创业板指,5,250,14,40,1.0,1.15,-0.06338624583465835,-0.06570740251531348,1,0.41733100543579327,0.0,True,0.2,False,high_beta,ma=5/250|atr=14/40|buy=1.00|sell=1.15|vol_on|tv=0.20,-0.9646743503501881
