date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,param_source,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2024-10-14,000016.SH,2699.71,2737.27,2672.81,2723.18,80655001.0,negative_bubble,0.5927566981261227,LPPL底部+3票确认,hold,0.5,1,0,1,1,0,0,1,1,0,3,1,0,0,0,0,718,0,16,3.1415615130195675,-0.04554981529122304,-0.10215769357576354,0.5,,3.99673692166067,0.0,0.5927566981261227,optimal_yaml,0.4524239799422004,499850.0,151.65772701237577,412991.28904556145,912841.2890455615,0.9128412890455615,0.8810513680791243,0.007159950193435183,0.01596409477725258,-0.008804144583817397,False,1.0103405251645476,-0.09650136136339482
2024-10-15,000016.SH,2711.67,2726.99,2655.12,2655.12,58314144.0,negative_bubble,0.5927566981261227,LPPL底部+3票确认,hold,0.5,1,0,1,1,0,0,1,1,0,3,1,0,0,0,0,719,0,16,3.1229767092981726,-0.06940423533370255,-0.10215769357576354,0.5,,2.99673692166067,0.0,0.5927566981261227,optimal_yaml,0.4461615290774067,499850.0,151.65772701237577,402669.46414509916,902519.4641450992,0.9025194641450992,0.8590313928621115,-0.011307359805398876,-0.024992839254107335,0.01368547944870846,False,1.0103405251645476,-0.10671754555414703
2024-10-16,000016.SH,2629.24,2677.22,2628.95,2650.18,56259713.0,negative_bubble,0.5927566981261227,LPPL底部+3票确认,hold,0.5,1,0,1,1,0,0,1,1,0,3,1,0,0,0,0,720,0,16,3.017164977544284,-0.07113566106114666,-0.10215769357576354,0.5,,1.9967369216606699,0.0,0.5927566981261227,optimal_yaml,0.4457014010418548,499850.0,151.65772701237577,401920.274973658,901770.2749736579,0.9017702749736579,0.8574331166709266,-0.000830108602866475,-0.0018605562083823246,0.0010304476055158496,False,1.0103405251645476,-0.10745906700437224
2024-10-17,000016.SH,2666.37,2680.06,2610.47,2610.47,49796854.0,negative_bubble,0.5927566981261227,LPPL底部+3票确认,hold,0.5,1,0,1,1,0,0,1,1,1,3,2,0,0,0,0,721,0,16,2.9871081053746966,-0.08505366017790927,-0.10215769357576354,0.5,,0.9967369216606699,0.0,0.5927566981261227,optimal_yaml,0.44197471858203524,499850.0,151.65772701237577,395897.94663399656,895747.9466339966,0.8957479466339966,0.844585434980248,-0.006678339824227719,-0.014983887886860559,0.00830554806263284,False,1.0103405251645476,-0.1134197586619502
2024-10-18,000016.SH,2606.38,2722.65,2583.49,2681.91,70198207.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,722,0,0,3.0871865566990717,-0.06001458042717844,-0.10215769357576354,0.5,,-0.00326307833933015,0.0,0.5927566981261227,optimal_yaml,0.4486435938135197,499850.0,151.65772701237577,406732.3746517607,906582.3746517607,0.9065823746517607,0.8676989675912296,0.012095398106662936,0.02736671940301938,-0.015271321296356444,False,1.0103405251645476,-0.10269621768946513
2024-10-21,000016.SH,2694.97,2701.36,2659.67,2681.06,72042226.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,723,0,0,2.8475758692294373,-0.06031249780943104,-0.10215769357576354,0.5,,-1.0032630783393301,0.0,0.5927566981261227,optimal_yaml,0.44856518400746337,499850.0,151.65772701237577,406603.46558380016,906453.4655838001,0.9064534655838001,0.8674239605542847,-0.00014219233857271085,-0.0003169383014344218,0.00017474596286171096,False,1.0103405251645476,-0.10282380741268204
2024-10-22,000016.SH,2672.85,2704.35,2672.45,2692.66,52208167.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,724,0,0,2.6747147872875368,-0.056246801769278765,-0.09692729130287903,0.5,,-2.00326307833933,0.0,0.5927566981261227,optimal_yaml,0.4496333263867322,499850.0,151.65772701237577,408362.69521714374,908212.6952171437,0.9082126952171438,0.8711769977643545,0.0019407831732549674,0.004326646923231925,-0.0023858637499769575,False,1.0103405251645476,-0.10108258295466366
2024-10-23,000016.SH,2691.13,2728.26,2682.94,2708.05,56076797.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,725,0,0,2.473618521986208,-0.050852744695318086,-0.09238884886376131,0.5,,-3.00326307833933,0.0,0.5927566981261227,optimal_yaml,0.4510440861427018,499850.0,151.65772701237577,410696.70763586427,910546.7076358643,0.9105467076358643,0.8761562428215076,0.0025698962710078987,0.005715537795339953,-0.0031456415243320546,False,1.0103405251645476,-0.09877245843665483
2024-10-24,000016.SH,2695.38,2699.0,2669.71,2680.7,42253335.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,726,0,0,2.3461416911227544,-0.060438674583090934,-0.09098457743641086,0.5,,-4.00326307833933,0.0,0.5927566981261227,optimal_yaml,0.44853196842509635,499850.0,151.65772701237577,406548.8688020757,906398.8688020757,0.9063988688020758,0.8673074869856964,-0.004555327913444374,-0.010099518103432459,0.005544190189988085,False,1.0103405251645476,-0.1028778454131033
2024-10-25,000016.SH,2679.35,2705.33,2671.04,2683.32,46861453.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,727,0,0,2.011179182223057,-0.0595203880636771,-0.08701191392019669,0.5,,-5.00326307833933,0.0,0.5927566981261227,optimal_yaml,0.448773612682255,499850.0,151.65772701237577,406946.2120468482,906796.2120468481,0.9067962120468481,0.8681551557348675,0.0004383757068204819,0.0009773566605739692,-0.0005389809537534873,False,1.0103405251645476,-0.10248456885448198
2024-10-28,000016.SH,2681.51,2686.29,2656.32,2686.29,53474972.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,728,0,0,1.6073700854744157,-0.058479429680983075,-0.08505366017790927,0.5,,-6.00326307833933,0.0,0.5927566981261227,optimal_yaml,0.44904728169458996,499850.0,151.65772701237577,407396.6354960749,907246.6354960749,0.9072466354960749,0.8691160626757214,0.0004967195972400695,0.0011068377979517319,-0.0006101182007116623,False,1.0103405251645476,-0.1020387553510066
