date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,param_source
2023-03-17,399001.SZ,11328.37,11388.52,11245.15,11278.05,405882900.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,575,0,0,0.9722358454623721,-0.07239070947238047,-0.0757094600429834,1.0,,-87.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-03-20,399001.SZ,11289.96,11342.03,11231.01,11247.13,438320664.0,none,0.0,无信号,hold,1.0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,576,0,0,0.964272204873483,-0.07493385117357121,-0.0757094600429834,1.0,,-88.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-03-21,399001.SZ,11270.07,11427.25,11270.07,11427.25,387093060.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,577,0,0,0.9635362748932188,-0.06011914602420265,-0.0757094600429834,1.0,,-89.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-03-22,399001.SZ,11459.83,11521.42,11448.19,11496.93,445982825.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,578,0,0,0.9645493514579772,-0.05438802979719848,-0.0757094600429834,1.0,,-90.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-03-23,399001.SZ,11457.79,11605.29,11442.95,11605.29,437895647.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,579,0,0,0.9809564558403742,-0.04547551897116264,-0.0757094600429834,1.0,,-91.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-03-24,399001.SZ,11616.46,11648.54,11581.42,11634.22,478515087.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,580,0,0,0.9554564507606029,-0.043096052948670915,-0.0757094600429834,1.0,,-92.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-03-27,399001.SZ,11621.92,11659.0,11558.38,11647.94,494534827.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,581,0,0,0.8912622433822004,-0.041967595505581046,-0.0757094600429834,1.0,,-93.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-03-28,399001.SZ,11637.51,11649.15,11548.42,11564.45,445848465.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,582,0,0,0.9000605457361608,-0.04883457159330462,-0.0757094600429834,1.0,,-94.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-03-29,399001.SZ,11584.91,11623.43,11538.17,11579.91,413801868.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,583,0,0,0.8878894168726226,-0.04756300074270925,-0.0757094600429834,1.0,,-95.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-03-30,399001.SZ,11578.33,11656.48,11505.55,11651.83,392284297.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,584,0,0,0.8929868027336529,-0.04164764656581288,-0.0757094600429834,1.0,,-96.00001313187818,0.0,0.5705549545252764,optimal_yaml
