date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,param_source
2025-03-13,000905.SH,6032.85,6050.18,5947.78,5993.97,193710717.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,100,0,0,0.9310558976176325,-0.017444786316940353,-0.04256777025731151,1.0,,-87.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-03-14,000905.SH,5993.97,6099.98,5978.53,6099.98,219245834.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,101,0,0,0.9689332119759246,-6.720881779698207e-05,-0.04256777025731151,1.0,,-88.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-03-17,000905.SH,6119.61,6129.85,6098.51,6108.02,184317273.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,102,0,0,0.9315762963385259,0.0,-0.04256777025731151,1.0,,-89.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-03-18,000905.SH,6126.04,6161.23,6114.21,6133.3,166023043.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,103,0,0,0.9142904826229722,0.0,-0.039426987454900475,1.0,,-90.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-03-19,000905.SH,6117.42,6128.23,6076.56,6101.44,153893780.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,104,0,0,0.8707706460942607,-0.005194593448877516,-0.039426987454900475,1.0,,-91.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-03-20,000905.SH,6094.84,6109.18,6055.38,6059.49,147187865.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,105,0,0,0.7844062723441895,-0.012034304534263796,-0.039426987454900475,1.0,,-92.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-03-21,000905.SH,6038.99,6071.08,5951.8,5971.93,174103785.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,106,0,0,0.7922590953453034,-0.026310469078636323,-0.039426987454900475,1.0,,-93.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-03-24,000905.SH,5973.05,5987.06,5882.88,5969.08,169192435.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,107,0,0,0.7981294368856124,-0.026775145517095256,-0.039426987454900475,1.0,,-94.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-03-25,000905.SH,5969.42,5993.93,5929.67,5946.95,147483948.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,108,0,0,0.8010836256945075,-0.03038331730063759,-0.039426987454900475,1.0,,-95.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-03-26,000905.SH,5935.85,5983.47,5935.85,5948.5,136702111.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,109,0,0,0.7586341446712108,-0.03013059853586164,-0.039426987454900475,1.0,,-96.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-03-27,000905.SH,5932.52,6000.66,5891.77,5957.6,134708904.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110,0,0,0.7835424300082514,-0.028646894820080537,-0.039426987454900475,1.0,,-97.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-03-28,000905.SH,5954.73,5973.8,5904.92,5916.03,134261927.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111,0,0,0.7861597503241422,-0.03542464904700571,-0.03542464904700571,1.0,,-98.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-03-31,000905.SH,5886.96,5908.3,5802.42,5857.77,154256090.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,112,0,0,0.7969730199088191,-0.044923613715291855,-0.044923613715291855,1.0,,-99.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-04-01,000905.SH,5870.94,5931.5,5867.85,5892.85,136448602.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,113,0,0,0.8097236180419844,-0.03920401741313806,-0.044923613715291855,1.0,,-100.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-04-02,000905.SH,5884.89,5936.65,5884.11,5899.09,112159960.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114,0,0,0.7752113288575994,-0.03818662057945965,-0.044923613715291855,1.0,,-101.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-04-03,000905.SH,5842.62,5906.71,5817.97,5845.5,134938625.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,115,0,0,0.7542321076408885,-0.04692416806613087,-0.04692416806613087,1.0,,-102.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-04-07,000905.SH,5523.96,5587.85,5212.68,5287.03,236522656.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,116,0,0,1.1894773042386648,-0.13797955423670782,-0.13797955423670782,0.5,,-103.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-04-08,000905.SH,5279.76,5371.18,5249.23,5326.91,223840665.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,117,0,0,1.2367118772754617,-0.13147734498557062,-0.13797955423670782,0.5,,-104.00226798286516,0.0,0.5832898394245976,optimal_yaml
2025-04-09,000905.SH,5249.68,5465.14,5135.97,5439.77,245118027.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,118,0,0,1.426222746057773,-0.11307615802259785,-0.13797955423670782,0.5,,,0.0,0.0,optimal_yaml
2025-04-10,000905.SH,5534.56,5610.19,5513.95,5544.06,211963035.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,119,0,0,1.499804661692654,-0.0960722612622894,-0.13797955423670782,0.5,,,0.0,0.0,optimal_yaml
2025-04-11,000905.SH,5514.19,5631.6,5510.89,5581.32,164411663.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,120,0,0,1.4922788202418176,-0.0899972282458058,-0.13797955423670782,0.5,,,0.0,0.0,optimal_yaml
2025-04-14,000905.SH,5633.78,5661.8,5608.73,5627.14,155487077.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,121,0,0,1.466691750168322,-0.08252653547030142,-0.13797955423670782,0.5,,,0.0,0.0,optimal_yaml
2025-04-15,000905.SH,5625.0,5626.68,5567.03,5602.53,123273708.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,122,0,0,1.4561538112460426,-0.08653905727748523,-0.13797955423670782,0.5,,,0.0,0.0,optimal_yaml
2025-04-16,000905.SH,5589.78,5592.67,5492.65,5556.86,132537224.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,123,0,0,1.4908276474626942,-0.09398529339833372,-0.13797955423670782,0.5,,,0.0,0.0,optimal_yaml
2025-04-17,000905.SH,5527.59,5604.62,5526.89,5557.01,113652382.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,124,0,0,1.4628064587782517,-0.09396083674367794,-0.13797955423670782,0.5,,,0.0,0.0,optimal_yaml
2025-04-18,000905.SH,5546.97,5579.48,5525.4,5560.72,111644258.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,125,0,0,1.445975138020057,-0.0933559421518595,-0.13797955423670782,0.5,,,0.0,0.0,optimal_yaml
2025-04-21,000905.SH,5556.51,5646.22,5535.7,5642.38,123111883.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,126,0,0,1.4383889667898078,-0.0800417393572791,-0.13797955423670782,0.5,,,0.0,0.0,optimal_yaml
2025-04-22,000905.SH,5634.89,5651.55,5617.88,5624.21,124666689.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,127,0,0,1.4062074073666153,-0.08300425545791013,-0.13797955423670782,0.5,,,0.0,0.0,optimal_yaml
2025-04-23,000905.SH,5647.91,5670.26,5614.77,5634.95,127007764.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,128,0,0,1.4039717101522475,-0.08125315898455976,-0.13797955423670782,0.5,,,0.0,0.0,optimal_yaml
2025-04-24,000905.SH,5633.02,5651.53,5583.43,5605.88,122696696.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,129,0,0,1.3841936598430866,-0.08599285865684059,-0.13797955423670782,0.5,,,0.0,0.0,optimal_yaml
2025-04-25,000905.SH,5613.14,5661.59,5596.53,5627.18,140000800.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,130,0,0,0.9967203891215222,-0.08252001369572659,-0.13797955423670782,1.0,,,0.0,0.0,optimal_yaml
2025-04-28,000905.SH,5624.42,5628.08,5587.79,5598.3,136218094.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,131,0,0,0.9420087161021923,-0.08722873493877681,-0.13797955423670782,1.0,,,0.0,0.0,optimal_yaml
2025-04-29,000905.SH,5583.72,5622.02,5571.24,5604.91,126742927.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,132,0,0,0.7546204444566703,-0.08615101169028094,-0.13797955423670782,1.0,,,0.0,0.0,optimal_yaml
2025-04-30,000905.SH,5604.65,5647.78,5603.17,5631.82,138386621.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,133,0,0,0.6720142881978955,-0.08176348784504273,-0.13797955423670782,1.0,,,0.0,0.0,optimal_yaml
2025-05-06,000905.SH,5668.88,5740.33,5666.47,5740.33,162773606.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,134,0,0,0.6666721490472421,-0.06407154386708624,-0.13797955423670782,1.0,,,0.0,0.0,optimal_yaml
2025-05-07,000905.SH,5805.66,5819.24,5713.27,5750.29,171011757.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,135,0,0,0.6881497624818858,-0.062447621997945624,-0.13797955423670782,1.0,,,0.0,0.0,optimal_yaml
2025-05-08,000905.SH,5731.72,5783.79,5724.95,5773.81,136140322.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,136,0,0,0.6912394138524789,-0.05861281854792688,-0.13147734498557062,1.0,,,0.0,0.0,optimal_yaml
2025-05-09,000905.SH,5770.44,5770.44,5705.17,5721.72,123939007.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,137,0,0,0.6661093899941148,-0.06710579948804063,-0.11307615802259785,1.0,,,0.0,0.0,optimal_yaml
2025-05-12,000905.SH,5751.44,5794.52,5737.46,5793.67,135824367.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,138,0,0,0.6654280560103165,-0.055374757471507996,-0.0960722612622894,1.0,,,0.0,0.0,optimal_yaml
2025-05-13,000905.SH,5838.03,5838.03,5772.07,5781.67,138271081.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,139,0,0,0.6769232524606252,-0.057331289843966515,-0.09398529339833372,1.0,,,0.0,0.0,optimal_yaml
2025-05-14,000905.SH,5778.08,5835.49,5750.54,5799.12,156279994.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,140,0,0,0.6614464069219841,-0.0544861656856831,-0.09398529339833372,1.0,,,0.0,0.0,optimal_yaml
2025-05-15,000905.SH,5786.78,5786.78,5715.29,5715.3,135160768.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,141,0,0,0.6995841512936424,-0.068152544307306,-0.09398529339833372,1.0,,,0.0,0.0,optimal_yaml
2025-05-16,000905.SH,5703.74,5735.01,5703.74,5715.85,116709136.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,142,0,0,0.6845703674120258,-0.06806286990690169,-0.09398529339833372,1.0,,,0.0,0.0,optimal_yaml
2025-05-19,000905.SH,5719.44,5729.07,5669.72,5720.79,115384939.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,143,0,0,0.6812340014104586,-0.06725743074690627,-0.09396083674367794,1.0,,,0.0,0.0,optimal_yaml
2025-05-20,000905.SH,5723.51,5759.46,5707.81,5747.37,116896615.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,144,0,0,0.6749795311884038,-0.06292371154191057,-0.0933559421518595,1.0,,,0.0,0.0,optimal_yaml
2025-05-21,000905.SH,5741.69,5763.08,5733.83,5757.92,115804542.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,145,0,0,0.6698612974388537,-0.06120359349779081,-0.08722873493877681,1.0,,,0.0,0.0,optimal_yaml
2025-05-22,000905.SH,5739.19,5757.79,5701.16,5703.28,109057720.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,146,0,0,0.6773818779289393,-0.07011233756705204,-0.08722873493877681,1.0,,,0.0,0.0,optimal_yaml
2025-05-23,000905.SH,5697.14,5738.08,5653.04,5653.04,114361198.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,147,0,0,0.7099084786636182,-0.0783036864330785,-0.08722873493877681,1.0,,,0.0,0.0,optimal_yaml
2025-05-26,000905.SH,5653.21,5693.63,5644.58,5669.46,97170989.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,148,0,0,0.6694991491312268,-0.07562649797009768,-0.08722873493877681,1.0,,,0.0,0.0,optimal_yaml
2025-05-27,000905.SH,5666.3,5667.87,5629.13,5652.15,95149363.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,149,0,0,0.6240360244259913,-0.0784487959173692,-0.08722873493877681,1.0,,,0.0,0.0,optimal_yaml
2025-05-28,000905.SH,5651.88,5660.47,5628.42,5637.24,94908883.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,150,0,0,0.6072181330536514,-0.0808797873901489,-0.08722873493877681,1.0,,,0.0,0.0,optimal_yaml
2025-05-29,000905.SH,5637.06,5724.52,5637.06,5719.91,114682484.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,151,0,0,0.6253524162645138,-0.0674009097875532,-0.08615101169028094,1.0,,,0.0,0.0,optimal_yaml
2025-05-30,000905.SH,5704.77,5704.77,5665.52,5671.07,109900707.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,152,0,0,0.6160121865139989,-0.0753639965434596,-0.08176348784504273,1.0,,,0.0,0.0,optimal_yaml
2025-06-03,000905.SH,5653.67,5710.42,5653.3,5694.84,122853903.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,153,0,0,0.6139250440234613,-0.07148843200234789,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-04,000905.SH,5696.57,5744.45,5696.57,5739.01,116196077.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,154,0,0,0.5916123472356366,-0.06428676242805664,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-05,000905.SH,5741.03,5778.1,5719.55,5769.97,125223584.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,155,0,0,0.5772790713900533,-0.059238908907113585,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-06,000905.SH,5768.4,5771.76,5750.66,5762.08,108217660.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,156,0,0,0.5746178951854316,-0.06052532894200513,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-09,000905.SH,5772.78,5823.9,5765.35,5805.65,128188619.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,157,0,0,0.5814233274945672,-0.053421485986337,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-10,000905.SH,5809.83,5810.92,5715.97,5757.99,138269181.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,158,0,0,0.6204993518840584,-0.0611921803922848,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-11,000905.SH,5758.53,5818.57,5758.53,5792.95,123716707.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,159,0,0,0.6503061203705387,-0.05549214941385561,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-12,000905.SH,5780.97,5808.8,5766.52,5799.93,125615846.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,160,0,0,0.6434359135950769,-0.05435409975054206,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-13,000905.SH,5783.16,5794.67,5728.21,5740.24,167613374.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,161,0,0,0.6379550629989571,-0.06408621785987978,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-16,000905.SH,5725.0,5775.95,5725.0,5767.81,128242658.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,162,0,0,0.6443937948361627,-0.059591084734156086,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-17,000905.SH,5772.3,5776.63,5734.83,5750.91,121526624.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,163,0,0,0.6503029269628621,-0.05745037237111239,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-18,000905.SH,5740.16,5753.71,5709.8,5745.87,112703844.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,164,0,0,0.6642429662355942,-0.05175683102043238,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-19,000905.SH,5733.81,5750.46,5660.05,5676.83,125531134.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,165,0,0,0.6696508434910362,-0.049414510886765295,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-20,000905.SH,5669.09,5688.74,5636.78,5639.51,101794766.0,none,0.0,无信号,hold,0.5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,166,0,0,0.6706634272834884,-0.05521286362387501,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-23,000905.SH,5613.28,5684.4,5613.28,5674.17,111601802.0,none,0.0,无信号,hold,0.5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,167,0,0,0.6854873086010437,-0.047574526655028926,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-24,000905.SH,5683.46,5766.02,5683.46,5765.84,142082256.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,168,0,0,0.7240034590333299,-0.03218745803679335,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-25,000905.SH,5777.74,5866.52,5776.12,5862.55,184632310.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,169,0,0,0.7615761912257046,-0.015954411172284133,-0.0808797873901489,1.0,,,0.0,0.0,optimal_yaml
2025-06-26,000905.SH,5868.29,5885.25,5835.34,5838.25,180164163.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,170,0,0,0.7879919512709611,-0.01314733021975878,-0.0753639965434596,1.0,,,0.0,0.0,optimal_yaml
2025-06-27,000905.SH,5850.43,5905.7,5839.58,5863.73,199389725.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,171,0,0,0.7946455438231754,-0.005994144859631012,-0.0753639965434596,1.0,,,0.0,0.0,optimal_yaml
2025-06-30,000905.SH,5877.67,5918.31,5872.23,5915.39,166275147.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,172,0,0,0.7624803420357171,0.0,-0.07148843200234789,1.0,,,0.0,0.0,optimal_yaml
2025-07-01,000905.SH,5915.8,5936.92,5890.11,5934.67,154192365.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,173,0,0,0.7532991202346054,0.0,-0.06428676242805664,1.0,,,0.0,0.0,optimal_yaml
2025-07-02,000905.SH,5922.54,5922.54,5873.89,5892.95,162500485.0,none,0.0,无信号,hold,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,174,0,0,0.7711602586148406,-0.00702987697715296,-0.06408621785987978,1.0,,,0.0,0.0,optimal_yaml
