date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,atr_ratio,price_drawdown,recent_drawdown_min,param_source
2022-01-17,000001.SH,3522.09,3546.09,3519.43,3541.67,312886733.0,none,0.0,持有,hold,1.0,1.0226304801670152,-0.02790571288982091,-0.0335077154479132,optimal_yaml
2022-01-18,000001.SH,3541.89,3579.31,3531.33,3569.91,377146435.0,none,0.0,持有,hold,1.0,1.0709066878028926,-0.020154583431686413,-0.0335077154479132,optimal_yaml
2022-01-19,000001.SH,3567.63,3578.73,3541.66,3558.18,333235269.0,none,0.0,持有,hold,1.0,1.0753529812801534,-0.023374156680408764,-0.0335077154479132,optimal_yaml
2022-01-20,000001.SH,3556.23,3576.26,3540.55,3555.06,379509846.0,none,0.0,持有,hold,1.0,1.0791193341347467,-0.0242305137593527,-0.0335077154479132,optimal_yaml
2022-01-21,000001.SH,3546.75,3547.0,3514.89,3522.57,326534880.0,none,0.0,持有,hold,1.0,1.1094176583035897,-0.032202495755237925,-0.0335077154479132,optimal_yaml
2022-01-24,000001.SH,3508.24,3531.61,3500.14,3524.11,280268342.0,none,0.0,持有,hold,1.0,1.084944063544807,-0.03177939326003221,-0.0335077154479132,optimal_yaml
2022-01-25,000001.SH,3509.28,3519.83,3433.06,3433.06,327353813.0,none,0.0,持有,hold,1.0,1.1624103970195887,-0.05679464143437252,-0.05679464143437252,optimal_yaml
2022-01-26,000001.SH,3442.69,3462.12,3417.76,3455.67,275122828.0,none,0.0,持有,hold,1.0,1.1675836003432063,-0.050582727527487936,-0.05679464143437252,optimal_yaml
2022-01-27,000001.SH,3456.1,3456.36,3392.02,3394.25,280606534.0,none,0.0,持有,hold,1.0,1.216875322651052,-0.06745737379731742,-0.06745737379731742,optimal_yaml
2022-01-28,000001.SH,3407.59,3417.05,3356.56,3361.44,290855257.0,none,0.0,持有,hold,1.0,1.2395829455207426,-0.0764716548802401,-0.0764716548802401,optimal_yaml
2022-02-07,000001.SH,3407.76,3434.03,3407.76,3429.58,320485211.0,none,0.0,MA死叉信号,sell,0.0,1.2764925405326666,-0.05581816630096936,-0.0764716548802401,optimal_yaml
2022-02-08,000001.SH,3428.54,3453.19,3390.46,3452.63,366093865.0,none,0.0,持有,hold,0.0,1.3052420892644152,-0.040250956933143844,-0.0764716548802401,optimal_yaml
2022-02-09,000001.SH,3450.82,3484.74,3444.08,3479.95,350249936.0,none,0.0,持有,hold,0.0,1.27049421383093,-0.03265664655045408,-0.0764716548802401,optimal_yaml
2022-02-10,000001.SH,3481.91,3488.86,3464.22,3485.91,355666267.0,none,0.0,持有,hold,0.0,1.227945180244734,-0.03099990826784671,-0.0764716548802401,optimal_yaml
2022-02-11,000001.SH,3472.28,3500.15,3459.33,3462.95,361356090.0,none,0.0,持有,hold,0.0,1.229059479445288,-0.0373822423229917,-0.0764716548802401,optimal_yaml
2022-02-14,000001.SH,3451.85,3457.26,3415.45,3428.88,315274448.0,none,0.0,持有,hold,0.0,1.203060728028662,-0.04685289220360078,-0.0764716548802401,optimal_yaml
2022-02-15,000001.SH,3428.04,3447.49,3421.64,3446.09,275559322.0,none,0.0,持有,hold,0.0,1.161328861927328,-0.04206892142446128,-0.0764716548802401,optimal_yaml
2022-02-16,000001.SH,3457.07,3475.06,3453.8,3465.83,274993913.0,none,0.0,持有,hold,0.0,1.1304584979311287,-0.029154796619522583,-0.0764716548802401,optimal_yaml
2022-02-17,000001.SH,3464.21,3480.97,3454.28,3468.04,297262682.0,none,0.0,持有,hold,0.0,1.0925686980454006,-0.02853573339383908,-0.0764716548802401,optimal_yaml
2022-02-18,000001.SH,3451.63,3490.76,3447.03,3490.76,295149963.0,none,0.0,持有,hold,0.0,1.096426234438694,-0.02217142729088395,-0.0764716548802401,optimal_yaml
2022-02-21,000001.SH,3488.41,3492.2,3471.69,3490.61,301541740.0,none,0.0,持有,hold,0.0,0.9727299598346977,-0.022213445156880618,-0.0764716548802401,optimal_yaml
2022-02-22,000001.SH,3473.29,3473.39,3437.67,3457.15,326279484.0,none,0.0,持有,hold,0.0,0.9787966806637061,-0.028393729378502375,-0.0764716548802401,optimal_yaml
2022-02-23,000001.SH,3458.51,3490.76,3458.18,3489.15,325604895.0,none,0.0,持有,hold,0.0,0.9248702871528822,-0.018539771480650113,-0.0764716548802401,optimal_yaml
2022-02-24,000001.SH,3474.37,3486.98,3400.21,3429.96,488354901.0,none,0.0,持有,hold,0.0,0.9631103390963466,-0.026715965165673095,-0.0764716548802401,optimal_yaml
2022-02-25,000001.SH,3445.34,3480.18,3440.93,3451.41,377542556.0,none,0.0,持有,hold,0.0,0.9239782260485728,-0.020629322013217544,-0.0764716548802401,optimal_yaml
2022-02-28,000001.SH,3450.32,3462.31,3425.52,3462.31,345838388.0,none,0.0,持有,hold,0.0,0.8806546564808905,-0.008150087659993921,-0.0764716548802401,optimal_yaml
2022-03-01,000001.SH,3471.36,3491.13,3465.72,3488.83,326001662.0,none,0.0,持有,hold,0.0,0.8632613648045554,-0.0005528881962667542,-0.0764716548802401,optimal_yaml
2022-03-02,000001.SH,3478.29,3486.62,3467.0,3484.19,329367684.0,none,0.0,持有,hold,0.0,0.860815526833038,-0.0018821116318510356,-0.0764716548802401,optimal_yaml
2022-03-03,000001.SH,3495.93,3500.29,3473.34,3481.11,412594289.0,none,0.0,持有,hold,0.0,0.8441199256459075,-0.002764440981333549,-0.0764716548802401,optimal_yaml
2022-03-04,000001.SH,3459.98,3474.88,3437.7,3447.65,393526581.0,none,0.0,持有,hold,0.0,0.8445539467091326,-0.012349746187076738,-0.05581816630096936,optimal_yaml
2022-03-07,000001.SH,3438.56,3438.56,3360.74,3372.86,393588999.0,none,0.0,持有,hold,0.0,0.9476962594316898,-0.033774879968831995,-0.04685289220360078,optimal_yaml
2022-03-08,000001.SH,3372.55,3383.63,3287.34,3293.53,415926766.0,none,0.0,持有,hold,0.0,1.0590723856747266,-0.05650059012937014,-0.05650059012937014,optimal_yaml
